URL,title,html
https://support.cci.drexel.edu/getting-connected/general-issues/connecting-dragonfly3-wifi-drexel-campus/,Connecting to Dragonfly3 WiFi on Drexel Campus,"Contact The CCI Helpdesk
Connecting to Dragonfly3 WiFi on Drexel Campus
Instructions for macOS, Windows, iOS/iPhone/iPad/iPadOS
Go to your Wifi Settings.
Forget Dragonfly3 network (SSID).
Get on Drexelgues Wifi (SSID)
Open webpage browser.
Go to any webpage.
Should auto-redirect to Drexel guest login webpage.
If you are not redirected, visit:
http://neverssl.com/
It should redirect then.
Type & submit your Drexel email address into the login page for Drexel Guest.
No password needed here.
After Drexelguest connects successfully,
click ""Dragonfly3 installation wizard.""
Follow-onscreen instructions.
Android User Instructions
Connecting to dragonfly3 WiFi on Android
Linux User Instructions
Connecting to dragonfly3 WiFi on Linux (GUI)
iOS/iPad Remove and Re-Add Instructions
Connecting to dragonfly3 on iOS/iPad
Chromebook or ChromeOS Instructions
Connecting to dragonfly3 on ChromeOS or Chromebook
Troubleshooting
Try any network diagnostic or troubleshooting wizard on your computer.
If it can't fix it and it says your DNS is an issue, or if you want to give the following a shot (it won't hurt anything, as long as you take a screenshot of your original settings)...
Changing DNS to Cloudflare can be of help. See link below.
Do this for drexelguest & dragonfly3, after selecting each to connect to in your settings.
Changing DNS - Cloudflare 1.1.1.1 and Drexel DNS
More Help
https://drexel.edu/it/help/a-z/dragonfly3/"
https://support.cci.drexel.edu/getting-connected/discord/discord-faq/,Discord FAQ,"Contact The CCI Helpdesk
Discord FAQ
FREQUENTLY ASKED QUESTIONS:
I need an invite link to the Discord Server. How do I get it?
For a variety of reasons, we don't use normal Discord invite links to add students to our server. All CCI students received an email in Fall 2021 which included a link to our sign-up page
For understandable reasons, you may have not checked your email and it got buried or you accidentally deleted and cannot find it now
No worries! Just join here and share with your CCI friends!
Visit this page if you have any issue joining the server
How do I join my course server?
Courses do not have their own servers managed by CCI, instead they have ""categories"" which act as a bucket for various text channels courses are using. You can find your course categories by scrolling down the list of channels past the CLC
As of January 2022, the only course that CCI officially provides a server to is CCI Senior Design
CST Senior Design and all CCI courses conduct Discord activities in our primary server labeled CCI @ Drexel University
Course category access is assigned automatically starting after finals week and through out the start of the quarter. You do not have to do anything to gain access other than make sure you are enrolled
I don't see all my classes in the Discord server?
This server is only for CCI courses. Courses such as Math, Sciences, Art, or any other non-CCI course will not have a category in our server 
Not every course at CCI uses our Discord server. Using Discord for courses is up to the discretion of each professor, therefore sometimes only certain sections will be using Discord
You may have registered late (After the end of finals week). Discord is not a Drexel owned service, and processing course enrollments take time in Discord. If you register for a course after finals week (During break week, week 1, etc) you may not have access to course categories until days after you register 
I am registered for CCI courses that should be using Discord but I don't see the categories?
There are more reasons that you might not see all courses that are using Discord even if you are registered on time. This page has a list of the most common reasons why you may be unable to find your categories along with solutions to try
Can non-CCI students join the CCI Discord?
Non-CCI students can only join the CCI Discord if they are taking a CCI course, and it has to be a CCI course that uses Discord.
Otherwise, non-CCI students are not allowed to join the CCI Discord."
https://support.cci.drexel.edu/getting-connected/faculty-staff/listserv/,ListServ,"Contact The CCI Helpdesk
ListServ
If you do not already have a ListServ account, or have never used ListServ before, please review the DU IT documentation on Mass Email Lists.
Lists for mass mailing can be requested by emailing ihelp@drexel.edu and requesting a new ListServ List.  Existing list change requests can also be submitted. ListServ lists are created by IRT, and it may take up to 1 business day from the time we send the request to IRT for the list to be created.  Lists are usually created much quicker, however wait time may vary depending on the ListServ team's workload.  
Please note that unless we are told otherwise, the requestor will be the primary list owner/manager, and will be responsible for keeping the subscribers list up to date. CCI IT will not update subscriber emails for a ListServ unless asked to do so by the list manager/owner. For more info on managing a ListServ, visit the DU IT website to read their documentation.
Before we can create a list we must know the following information:
List Name
The name of your list will also be part of its email address. In most cases, the prefix ""CCI"" will be added to the beginning of all CCI lists to make them easier to identify.

List Type (Who should be able to email the list?)
Owners - Only designated owners can email the list
Subscribers - All subscribers can email the list
Public - Anyone can email the list.  If a list is set to public it is strongly recommended that the list is also configured to require the user sending an email to confirm that email.  This will help prevent the list from being spammed.
 
List Owners
Email addresses of all list owners.
 
Errors and Replies
Errors To: The email address errors should be sent to. Default is the list owner.
Reply To: Can be a specified email address, or the list itself (if list type is Discussion or Moderated). Default is message sender.

List Subscribers(Members)
Names and email addresses of all list Subscribers.  If you do not have this information now you can send it to ihelp@drexel.edu once the list has been created"
https://support.cci.drexel.edu/getting-connected/discord/discord-notifications/,Discord Notifications,"Contact The CCI Helpdesk
Discord Notifications
User Account Notifications
To change notifications for your user account:
Click on the settings gear on the bottom-left side of your screen next to your User picture and name.
Scroll down to ""App Settings,"" and click ""Notifications.""
Click ESC X to leave.

Discord Server Notifications
**These settings are unique for every server your account is in
Click on the server name on the top of the server navigation bar.
Click on ""Notification Settings""

""Mute"" means you will not receive any notification or notification sound for messages.
If you turn off ""Mute,"" you can select if you want notifications for all messages, @messages (Pings), or nothing.
If ""Suppress @everyone and @here"" is on, you will not receive notifications when @everyone and @here is pinged.
If ""Suppress All Role @mentions"" is on, you will not receive role-related pings.



If you scroll to the bottom of ""Notification Settings,"" you can customize individual category or channel notifications.

(A) Click on the drop down arrow and scroll until you find the category or channel you would like to edit notifications for.
(B) Click on that category or channel, and it will be added to the ""Channel or Category"" list.
(C) Click on the boxes next to each category or channel to choose, if you want notifications for all messages, mentions, nothing, or mute it.

Muting Categories or Channels
In addition to using Notification Settings to mute any channels:
Right-clicking on the name of a category or channel opens a menu.
Hover over ""Mute Category"" or ""Mute Channel"" to mute the selected channel or category.
Select the duration you would like the mute to last.
Hover over ""Notification Settings"" to see a menu that will allow you to choose what kinds of messages you would like notifications for."
https://support.cci.drexel.edu/getting-connected/discord/discord-friends-list/,Discord Friends List,"Contact The CCI Helpdesk
Discord Friends List
The Discord friends list is like a list of contacts that you can communicate with without having to share a server.
Adding a user to your friends list
If you share a server
If you share a server with someone, adding them to your friends list is easy. Right click on their profile picture or username, and select ""Add Friend."" This will send them a friend request.

Alternatively, open up their profile by clicking their profile picture or username, then clicking their profile picture again in the menu that comes up.

Once you are viewing their full profile, there will be a big green ""Send Friend Request"" icon.

If you do not share a server
You will need to have the user's tag, which looks like ""Username#1234"". You can get your own tag by clicking your username in the bottom-left corner of the screen. This will copy the tag, and then you can paste it anywhere.

Once you have someone's tag, you can send them a request from the friends list. To get there, first click the Discord logo in the top-left corner of the screen, and then select Friends if it isn't already selected.

At the top of this list, there will be a button for ""Add Friend""

Type in their tag and hit ""Send Friend Request"". Note that this is case-sensitive, so if possible, copy-paste their tag in directly.

Receiving a friend request
When you receive a friend request, it will show up as a notification badge on the Discord logo in the top-left corner.

Click it, select ""Friends,"" and go to ""Pending.""

There you will see their profile picture and username. If you recognize them, you can go ahead and click the checkmark to accept.

If not, click their profile picture to pull up this screen, where you can click through to view any servers you share with them and any mutual friends.

Under mutual servers, it will also show their nicknames on those servers, which might help you recognize them.

Note that if you don't have any mutual servers or mutual friends, and you did not give anyone your tag, there's a chance that it may be a scammer, though this is rare.

The ""Active Now"" panel
To the right of the friends list, you may see a list for ""Active Now."" This will show some friends that are currently playing games.

You will be able to see what game they've been playing and for how long. Note that this will only show if they have the setting enabled for it and are online."
https://support.cci.drexel.edu/getting-connected/gitlabgithub/changing-gitlab-password/,Changing Gitlab Password,"Contact The CCI Helpdesk
Changing Gitlab Password
If on Mac, follow these steps:
Open a terminal. For Macs, this is in the ""Utilities"" folder in your ""Applications"" folder.
Type ssh abc123@tux.cs.drexel.edu (where abc123 is your Drexel userID) and press enter
Type in your password. Nothing will be shown.
If successful, it will log you into Tux. This account is also used for Gitlab and various other CCI systems. If not, it will prompt you to enter the password again.
Once you log in, if you’re using a password which was sent to you, type the command “passwd” and press Enter. It will ask for your current password, which you should type and then press Enter again. Then, it will ask for a new password twice. Again, press Enter once you’ve typed your password each time.
If on Windows, follow these steps:
Open Windows Powershell
Type ssh abc123@tux.cs.drexel.edu (where abc123 is your Drexel userID) and press enter
Type in your password. Nothing will be shown.
If successful, it will log you into Tux. This account is also used for Gitlab and various other CCI systems. If not, it will prompt you to enter the password again.
Once you log in, if you’re using a password which was sent to you, type the command “passwd” and press Enter. It will ask for your current password, which you should type and then press Enter again. Then, it will ask for a new password twice. Again, press Enter once you’ve typed your password each time."
https://support.cci.drexel.edu/getting-connected/discord/discord-basics/,Discord Basics,"Contact The CCI Helpdesk
Discord Basics
What is Discord
Discord is a platform that utilizes ""Servers"" to allow groups of people to interact through messages, voice calls, or video calls. Discord also allows the use of private messaging, and group chats allowing users to interact in a variety of ways.
How do I sign up?
Discord is free to sign-up. See https://discord.com/ to create an account. Discord can be used in a browser, downloaded as a Desktop Application, or downloaded on Mobile from your App Store.
How is Discord being used at CCI?
Discord is very popular among college aged populations. CCI believes the use of a Discord server will help students learn about events, meet other students, and see important information for their CCI courses. 
Example Screenshot of What Discord Looks Like"
https://support.cci.drexel.edu/getting-connected/vpn/,VPN,"Contact The CCI Helpdesk
VPN
Choose the appropriate option below for instructions on setting up and using Drexel's Cisco AnyConnect VPN client or application, or a compatible application or two.
Most Frequent Issue - If Using Authenticator App
Make sure your check your phone if you use the Authenticator app for a notification. 
Actually open up the Authenticator app on your phone to check as well.
Click the Drexel account if you have more then 1 account there.
And click the circling arrow refresh icon.
Sometimes, notifications to approve MFA do not appear until you do this.
Install
VPN -- Android or Google mobile devices
VPN -- iOS or iPad or iPhone
VPN -- Linux -- Install Cisco AnyConnect VPN to Connect to Drexel Network
VPN -- Mac -- Install Cisco AnyConnect VPN to Connect to Drexel Network
VPN -- Windows -- Install Cisco AnyConnect VPN to Connect to Drexel Network
Uninstall
VPN -- Mac -- Uninstall Cisco AnyConnect VPN
VPN -- Windows -- Uninstall Cisco AnyConnect VPN
Additional Info
VPN -- MFA Approval is Now Required -- INCLUDE
VPN -- Troubleshooting -- MFA Authentication
VPN -- Troubleshooting -- Secure Gateway Not Found
VPN -- Troubleshooting -- NordVPN, not able to establish connection to specified secure gateway, repairing VPN adapter"
https://support.cci.drexel.edu/getting-connected/general-issues/connecting-dragonfly3-wifi-drexel-campus/connecting-dragonfly3-wifi-drexel-campus-android/,Connecting to dragonfly3 WiFi on Android,"Contact The CCI Helpdesk
Connecting to dragonfly3 WiFi on Android
Introduction
Connecting to dragonfly3 on an Android device is a trickier than on other devices, but still easily done once you know how.
Manual Configuration Instructions
For Android, the manual configuration is actually faster, easier, and more dependable than the using the Dragonfly3 installation wizard.
If you already connected to dragonfly3 before,
enter your Android settings
& forget any existing dragonfly3 network in your saved networks.
If you are not sure how to forget dragonly3, see the section further below on this.
Get onto the drexelguest WiFi network. Visit http://neverssl.com in a web browser if you are not automatically redirected to the drexelguest login portal. Only need to enter your email address there.
Click the dragonfly3 installation wizard. Follow the instructions.
If it succeeds, proceed no further!
If it fails...
do the following.
Open ""Android Setting""s app.
Or swipe down once, and then again,
and click the cog or gear icon
to get to ""Settings.""
Tap ""Network & Internet"" or ""Internet"" (or like).
Find & edit the drafgonfly3 network settings.
For ""network name"" or ""SSID"", enter the following:

dragonfly3

For EAP method, use PEAP.
For Phase 2 authentication, use MSCHAPV2.
For CA Certificate, select the first option mentions ""dragonfly3"" somehow.

If this doesn't work, select ""Use System Certificates."" It may help for the ""CA certificate"" to download it from link below & select (despite what we say above) from https://drexel.edu/it/help/a-z/dragonfly3/generic_config/ . If that doesn't help, try selecting ""unspecified"" or ""no choice"" or ""do not choose"" or not choosing any option or the ""CA certificate"" option.

You may also need to choose a different option under ""Online Certification Status"" then ""Do not verify,"" if prompted, but try that first.

For domain, specify ""drexel.edu"" (without quotes).
For identity, use your Drexel userid.
For Anonymous identity, leave it blank.
For password, use your Drexel password.
Click Next repeatedly, and then Done, to accept changes.
For further help, see the manual configuration of dragonfly 3 page at https://drexel.edu/it/help/a-z/dragonfly3/generic_config/

The following screenshots give a good idea of what to select,
BUT you may need to choose a different options for the certficate fields.
1st Screenshot


2nd Screenshot"
http://support.cci.drexel.edu/getting-connected/printing-papercut/papercut-cannot-print-black-white-or-ccibw-or-bw/,Papercut -- Cannot Print to Black & White or CCIBW or BW,"Contact The CCI Helpdesk
Papercut -- Cannot Print to Black & White or CCIBW or BW
Tagged with: papercut printing
When printing to the black and white queue on PaperCut, you may come across an error (similar but not exact results to the photo) where the page shows up as a glitched color page. Other glitches may also occur. This problem happens often in Chrome since it defaults the browser to print in color despite choosing to print in black and white. This issue can occur when trying to print to CCIBW - the PaperCut black and white printer.

In order to fix this error:
The web browser should have an option (most likely dropdown menu but others as well) to ask if you want to print in color or black and white.
Select to print in black and white for the black and white printer.
When printing black and white to the PaperCut black and white printers, CCIBW, double check that the web browser is set to print in black and white."
https://support.cci.drexel.edu/getting-connected/discord/solutions-joining-ccis-discord-servers/,Solutions for joining CCI's Discord Servers,"Contact The CCI Helpdesk
Solutions for joining CCI's Discord Servers
These instructions fix the most frequently encountered issues joining Discord. Including:
Unable to finish all the steps to sign-up for Discord
Getting redirected to another page on support.cci.drexel.edu 
Not seeing any CCI servers in your list of Discord servers
*Our primary Discord server is only open to current CCI students or any student enrolled in a CCI course for that quarter. If you are trying to join our primary server and you do not meet the above criteria you will not have access to join*
Step 1: Try clearing your cookies or cache and then visiting Discord Sign Up
This link has instructions on how to do this for various internet browsers

Step 2: Try changing internet browsers and then visiting Discord Sign Up
While the sign-up link works for all internet browsers, if you are continuing to have joining issues it may help to try a different browser

Optional: Try to join a few times
Sometimes it takes a couple of tries to join our server. This could be a result of Discord having issues on their end or our server/bots struggling to join users during high-volume times like at the beginning of a quarter
 If you are trying to join during the beginning of a quarter try to join a few times throughout the day before moving to step 3

Step 3: Email ihelp@drexel.edu with the following:
If you are a CCI Student:
Include which step you reach last from these instructions: How to Join CCI's Discord Servers
Include a screenshot of the last page you see before getting redirected
If you see any errors, also include a screenshot of the error

If you are not a CCI student:
You must be enrolled in a CCI course for the current quarter to join our server
Email a picture of your current schedule showing you are enrolled in a course at CCI. If you registered for the course within 48 hours of trying to access Discord, please wait until 48 hours has passed to try accessing the server again"
https://support.cci.drexel.edu/getting-connected/gitlabgithub/gitlab-login-troubleshooting/,GitLab Login Troubleshooting,"Contact The CCI Helpdesk
GitLab Login Troubleshooting
Tagged with: gitlab troubleshoot gitlab gitlab troubleshooting gitlab login
If you are having trouble logging into GitLab, please reference Gitlab Basics before continuing on with this page.
If you are trying to login to https://gitlab.cci.drexel.edu/ and are having trouble, please try the Tux account (LDAP) tab (even if you used the Standard tab in the past) with your Tux username and password. Make sure you use the link above to login to Drexel CCI GitLab.

If that does not work, please try resetting your Tux password at https://support.cci.drexel.edu/act/tux/reset/. Login with your DrexelConnect credentials, and you will be allowed to set a new password for your Tux account. This account is also used for GitLab and other services provided at CCI."
https://support.cci.drexel.edu/getting-connected/gitlabgithub/gitlab-account-confirmation-avatar-issue/,Gitlab - Account Confirmation & Avatar Issue,"Contact The CCI Helpdesk
Gitlab - Account Confirmation & Avatar Issue

1. Go to gitlab.cci.drexel.edu. 
Make sure to select LDAP tab and not standard tabv. Put your Drexel User ID (without @drexel.edu) and your tux password. If you forgot your password, you can reset using this link https://support.cci.drexel.edu/act/tux/reset/.


2. Go to your profile on the top right and click on edit profile
Under the email box, click on resend confirmation email.


3. It should bring you to this 'Almost there' Page



4. Go to https://outlook.office.com/mail/ and check Junk and Deleted Fol
Make sure to log in using your drexel credentials
Check for the confirmation email in your inbox - both focused and other tabs
If not in your inbox, check in your junk folder
if neither in inbox, nor junk, check your deleted folder
5. Go to your Deleted Items folder and click on Recover Items deleted from this folder.


6. You should see the gitlab confirmation email in the recoverable items


7. Right click on the gitlab confirmation email and click on restore


8. The email should now be restored into your junk folder


9. Go ahead and click on the confirmation link in the email to confirm your account.
10. Open a new tab in your browser and maker sure you signed out of Gitlab 
11. Sign in to gitlab.cci.drexel.edu using your drexel credentials. Make sure to sign in using LDAP and not standard.
12. Go to your profile settings and your drexel email should appear under the email section. 
All other gitlab features should work now. You should also be able to upload your public avatar as well. "
https://support.cci.drexel.edu/getting-connected/microsoft-multi-factor-authentication-mfa/signing-apps-use-drexel-connect-ios-devices/,iOS MFA notification/Sign In,"Contact The CCI Helpdesk
iOS MFA notification/Sign In
We (Drexel ITG) have discovered a minor issue with iOS users trying to sign into Drexel-provided apps. These apps include Health Checker and Blackboard. It is important, if you are using push notifications from the Microsoft Authenticator app as your default method of multi-factor authentication (MFA), that you swipe down on the banner notification and select Approve. If you only tap the notification, it will bring you into the Authenticator app and might not pass the approval to the Drexel-provided app.
To prevent missing the notification, set your banner style notification for the Microsoft Authenticator app to Persistent.
To do this, on your device go to Settings (Device Settings) > Authenticator > Notifications > set Banner Style to Persistent.
If you continue to have issues signing in despite these steps, you can turn off App Lock within Microsoft Authenticator. Microsoft Authenticator > Triple bar (upper left corner) > Settings > toggle App Lock to the Off position. Note that turning off App Lock will now allow you to use the Authenticator without FaceID, TouchID, or passcode, but you might want to consider re-enabling it in the future.
If you have further questions, contact the Drexel IT Help Desk at helpdesk@drexel.edu or see Troubleshooting Drexel App Sign-Ins on iOS."
